folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
506611702,1,TB01,1200,0,3600
506611702,1,TB02,195,0,585
506611702,1,TB03,199,0,597
506611907,1,TB11,780,260,381.52
506611912,1,TB08,1750,1750,1711.95
506645005,1,TB08,650,650,635.86
506645709,1,TB01,3000,0,9000
506645709,1,TB04,200,0,600
506645709,1,TR08,1400,0,1369.56
506669215,1,TB08,950,950,929.34
506669216,1,TB04,300,0,870.96
506669311,1,TB01,600,0,1741.93
506669311,1,TR01,500,0,1451.61
506706315,1,TB07,160,0,464.51
506706315,1,TB05,2600,0,7548.38
506706315,1,TB13,1300,1300,635.86
560029813,1,TB08,350,0,342.39
560064003,1,TB11,7000,1400,3423.91
560064004,1,TB08,160,160,156.52
560092016,1,TB12,1000,1000,489.13
560092016,1,TB13,8000,8000,3913.04
560153712,1,TB08,225,75,220.1
560163316,1,TR08,150,150,146.73
560163316,1,TB08,300,0,293.47
560212302,1,TB09,150,50,146.73
560219216,1,TB11,570,570,283.42
560219217,1,TB02,210,0,609.67
560219222,1,TB05,2000,0,5806.45
560219222,1,TB13,5500,0,2734.8
560219222,1,TB08,6100,6100,5967.39
560219225,1,TB03,211,0,612.58
560219225,1,TB05,2000,0,5806.45
560219225,1,TB08,9200,9200,8999.99
560219225,1,TB10,4000,4000,3913.04
560219225,1,TB02,436,0,1265.8
560219225,1,TB15,46304,5531,23024.08
560219225,1,TB14,12634,9534,6282.09
560219225,1,TB13,12453,297,6192.09
560222706,1,TB05,690,0,2070
560222706,1,TB03,895,0,2685
560222706,1,TB11,800,74,393.44
560245501,1,TR12,10000,0,4891.3
560302405,1,TB08,370,370,361.95
560302405,1,TB05,1300,0,3774.19
600007506,1,TB11,17500,3500,8559.78
600008803,1,TB08,1460,0,1428.26
600008803,1,TB11,1500,0,737.7
600008804,1,TB13,2400,2400,1180.32
600008804,1,TB11,6000,6000,2950.81
600008804,1,TB09,1280,0,1252.17
600008804,1,TB08,9900,9900,9684.78
600022905,1,TB03,2000,0,5806.45
600022905,1,TB12,2000,0,978.26
600022905,1,TB08,600,600,586.95
600025401,1,TB13,3500,0,1711.95
600039301,1,TB04,13800,0,40064.51
600039301,1,TB14,5000,0,2445.65
600039301,1,TB12,5500,5500,2690.21
600039301,1,TB08,2800,0,2739.13
600039303,1,TB08,990,630,968.47
600039303,1,TB07,700,0,2032.25
600039303,1,TB11,6800,0,3326.08
600113901,1,TB08,494,247,483.26
600121405,1,TB08,990,990,968.47
600124305,1,TB08,800,0,782.6
600126001,1,TB05,1156,0,3356.12
600133202,1,TB12,13100,13100,6513.81
600133202,1,TB01,3000,0,8709.67
600133206,1,TB12,13000,13000,6464.08
600145704,1,TB08,9300,500,9097.82
600145705,1,TB11,4500,0,2213.11
600145705,1,TB09,729,0,713.15
600145705,1,TB08,1350,0,1320.65
600145706,1,TB08,801,267,783.58
600168302,1,TB08,860,0,841.3
600198603,1,TB12,3400,3400,1672.13
600198603,1,TB08,890,890,870.65
600198605,1,TB08,6140,0,6006.52
600198605,1,TB03,1800,0,5400
600198605,1,TB12,7900,2300,3885.24
600203702,1,TB12,6000,0,2950.81
600203702,1,TB08,1380,0,1349.99
600203703,1,TB08,510,510,498.91
600203705,1,TB11,1700,0,836.06
600203705,1,TB08,1202,1202,1175.86
600203705,1,TB03,70,0,210
600209801,1,TB11,680,150,334.42
600209804,1,TB11,1500,200,737.7
600229902,1,TB08,1525,175,1491.84
600229903,1,TB08,198,0,193.69
600229906,1,TB08,2700,0,2641.3
600243305,1,TB08,1090,1090,1066.3
600262701,1,TB08,1000,0,978.26
600262703,1,TB05,2100,0,6300
600262703,1,TB08,700,0,684.78
600274503,1,TB11,10000,0,4891.3
600281804,1,TB08,800,0,782.6
600281804,1,TB10,400,400,391.3
600281804,1,TB02,260,0,780
600281804,1,TB03,75,0,225
600281804,1,TB05,1500,0,4500
600281804,1,TB07,389,0,1167
600281806,1,TB10,300,100,293.47
600281806,1,TB09,138,0,134.99
600281806,1,TB08,3310,0,3238.04
600281806,1,TB07,389,0,1167
600281806,1,TB05,2000,0,6000
600281806,1,TB03,703,0,2109
600281806,1,TB01,7000,0,21000
600281806,1,TB02,1092,0,3276
600281806,1,TR03,600,0,1800
600281806,1,TB11,800,0,393.44
600281806,1,TB13,10000,0,4918.03
600287901,1,TB08,1090,0,1066.3
600293303,1,TB11,5000,0,2445.65
600293304,1,TB12,586,0,286.63
600293304,1,TB10,5079,79,4968.58
600293304,1,TB08,3658,1950,3578.47
600293304,1,TB07,788,0,2287.74
600293304,1,TB05,600,0,1741.93
600293304,1,TR08,400,0,391.3
600321704,1,TB08,300,300,293.47
600325506,1,TB11,1200,0,586.95
600325506,1,TB15,1200,335,586.95
600325506,1,TB03,335,0,972.58
600327802,1,TB08,176,176,172.17
600336402,1,TB08,2560,380,2504.34
600336404,1,TB12,1000,1000,489.13
600336404,1,TB08,2950,2550,2885.86
600336406,1,TB12,2000,0,978.26
600337301,1,TB01,7576,0,21994.83
600337303,1,TB07,963,0,2795.8
600337303,1,TB14,2264,2264,1107.39
600342002,1,TB08,12880,5760,12599.99
600342002,1,TR09,500,500,489.13
600342002,1,TB13,272700,272700,133385.86
600343203,1,TB12,2400,2400,1193.37
600343206,1,TB08,580,580,567.39
600343206,1,TB05,3700,0,10741.93
600343206,1,TR08,490,490,479.34
600348601,1,TB08,1038,530,1015.43
600352703,1,TR08,2400,0,2347.82
600352705,1,TB11,7500,7500,3688.52
600352705,1,TB12,9500,0,4672.13
600352705,1,TB15,14000,14000,6885.24
600356505,1,TB08,1500,500,1467.39
600376903,1,TB08,7978,5441,7804.56
600376903,1,TB11,6000,0,2934.78
600376903,1,TB12,1350,450,660.32
600376903,1,TB02,2088,0,6061.93
