folioviv,foliohog,numren,id_trabajo,trapais,subor,indep,personal,pago,contrato,tipocontr,pres_1,pres_2,pres_3,pres_4,pres_5,pres_6,pres_7,pres_8,pres_9,pres_10,pres_11,pres_12,pres_13,pres_14,pres_15,pres_16,pres_17,pres_18,pres_19,pres_20,pres_21,pres_22,pres_23,pres_24,pres_25,pres_26,htrab,sinco,scian,clas_emp,tam_emp,no_ing,tiene_suel,tipoact,socios,soc_nr1,soc_nr2,soc_resp,otra_act,tipoact2,tipoact3,tipoact4,lugar,conf_pers
101035001,1,3,1,1,1,,,1,1,2,1,,,,,6,7,8,9,10,11,,,14,15,16,17,18,19,20,21,,23,24,,,48,8352,3360,2,11,,,,,,,,,,,,,
101035002,1,1,1,1,1,,,1,2,,,,,,,,,8,,,,,,,,,,,,,,,,,,,72,9236,3110,1,3,,,,,,,,,,,,,
101035002,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7341,3150,,1,,2,1,2,,,,2,,,,,
101035002,1,3,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,,16,17,18,,,21,,,24,,,48,3113,4620,2,8,,,,,,,,,,,,,
101035002,1,4,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,60,2651,4661,1,2,,,,,,,,,,,,,
101035003,1,1,1,1,1,,,1,2,,,,,,,,,8,9,,,,,,,,,,,,,,,,,,35,9611,8140,,1,,,,,,,,,,,,,
101035003,1,2,1,1,1,,,1,2,,1,,,,,,7,8,9,,11,,,14,,,,,,20,,,,,,,96,5313,5614,2,2,,,,,,,,,,,,,
101035004,1,1,1,1,1,,,1,1,2,,,,,,,,8,9,,,,,,,,,,,,,,,,,,30,4211,4661,1,3,,,,,,,,,,,,,
101035005,1,1,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4211,4611,1,2,,,,,,,,,,,,,
101035005,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,4111,4611,,2,,2,2,2,,,,2,,,,,
101035005,1,3,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2263,5411,,1,,2,3,2,,,,2,,,,,
101035006,1,1,1,1,1,,,1,1,2,1,,,,,,7,8,9,10,11,12,13,14,,16,,,,,,,23,24,,,48,4211,4681,2,4,,,,,,,,,,,,,
101035006,1,3,1,1,1,,,1,1,2,1,,,,,,7,8,9,,11,12,13,14,15,16,17,18,,20,21,,23,24,,,48,7412,4340,1,2,,,,,,,,,,,,,
100837003,1,3,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,30,2716,7131,1,2,,,,,,,,,,,,,
100837004,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,48,2642,8112,1,2,,,,,,,,,,,,,
100837006,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,14,,,,,,,,,,,,,48,5313,5614,2,7,,,,,,,,,,,,,
100837006,1,2,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,26,48,4211,4651,1,1,,,,,,,,,,,,,
100837006,1,5,1,1,1,,,1,1,2,1,,,,,,,,,,11,,,14,,,,,,,,,23,24,,,40,2335,6251,1,3,,,,,,,,,,,,,
100840201,1,1,1,1,1,,,1,2,,1,,,,,,,8,9,10,11,12,,,,,,,,,,,,,,,60,9311,5411,4,4,,,,,,,,,,,,,
100840202,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,77,4224,4690,,1,,1,2,2,,,,2,,,,,
100840203,1,1,1,1,1,,,1,1,2,1,,,,,6,,8,9,10,11,12,13,14,15,16,17,18,19,20,,,23,,,,55,2512,3360,2,11,,,,,,,,,,,,,
